stations_name,equivalent_date_last_yr,type,am_peak,midday,pm_peak,env,sum
Addison Road,"1/20/2009,Tue",Entry,"3,755","1,064",231,193,"5,243"
Addison Road,"1/20/2009,Tue",Exit,154,"1,272","1,334",668,"3,428"
Anacostia,"1/20/2009,Tue",Entry,"3,896","2,141","1,155",612,"7,804"
Anacostia,"1/20/2009,Tue",Exit,411,"2,029","2,340","1,286","6,066"
Archives/Navy Memorial,"1/20/2009,Tue",Entry,0,0,390,"1,379","1,769"
Archives/Navy Memorial,"1/20/2009,Tue",Exit,0,0,38,368,406
Arlington Cemetery,"1/20/2009,Tue",Entry,150,"5,430","1,870",10,"7,460"
Arlington Cemetery,"1/20/2009,Tue",Exit,"1,631","1,802",256,2,"3,691"
Ballston,"1/20/2009,Tue",Entry,"5,640","2,403","1,583","1,072","10,698"
Ballston,"1/20/2009,Tue",Exit,967,"3,066","4,530","2,402","10,965"
Benning Road,"1/20/2009,Tue",Entry,"2,149",874,325,236,"3,584"
Benning Road,"1/20/2009,Tue",Exit,121,955,"1,294",540,"2,910"
Bethesda,"1/20/2009,Tue",Entry,"7,479","2,053","1,557","1,411","12,500"
Bethesda,"1/20/2009,Tue",Exit,853,"3,729","4,819","2,106","11,507"
Braddock Road,"1/20/2009,Tue",Entry,"5,289","1,200",565,455,"7,509"
Braddock Road,"1/20/2009,Tue",Exit,288,"1,916","2,345","1,467","6,016"
Branch Avenue,"1/20/2009,Tue",Entry,"16,478","2,214",665,408,"19,765"
Branch Avenue,"1/20/2009,Tue",Exit,403,"4,884","6,891","1,725","13,903"
Brookland-CUA,"1/20/2009,Tue",Entry,"5,409","1,483","1,173",735,"8,800"
Brookland-CUA,"1/20/2009,Tue",Exit,795,"2,784","2,680","1,210","7,469"
Capital South,"1/20/2009,Tue",Entry,13,"9,746","7,030","1,627","18,416"
Capital South,"1/20/2009,Tue",Exit,"6,650","2,482",502,"1,078","10,712"
Capitol Heights,"1/20/2009,Tue",Entry,"1,699",671,162,145,"2,677"
Capitol Heights,"1/20/2009,Tue",Exit,77,695,934,390,"2,096"
Cheverly,"1/20/2009,Tue",Entry,"1,827",361,130,89,"2,407"
Cheverly,"1/20/2009,Tue",Exit,64,553,583,290,"1,490"
Clarendon,"1/20/2009,Tue",Entry,"2,245",842,678,858,"4,623"
Clarendon,"1/20/2009,Tue",Exit,448,"1,053","1,573","1,208","4,282"
Cleveland Park,"1/20/2009,Tue",Entry,"3,246","1,021",844,"1,091","6,202"
Cleveland Park,"1/20/2009,Tue",Exit,166,"1,677","2,356","1,399","5,598"
College Park/U of Md,"1/20/2009,Tue",Entry,"7,145","1,647",397,370,"9,559"
College Park/U of Md,"1/20/2009,Tue",Exit,286,"1,616","1,114","1,323","4,339"
Columbia Heights,"1/20/2009,Tue",Entry,"7,606","2,416","2,505","2,387","14,914"
Columbia Heights,"1/20/2009,Tue",Exit,891,"3,319","4,840","3,311","12,361"
Congress Heights,"1/20/2009,Tue",Entry,"1,460",721,306,176,"2,663"
Congress Heights,"1/20/2009,Tue",Exit,119,809,851,417,"2,196"
Court House,"1/20/2009,Tue",Entry,"2,970","1,331","1,065",789,"6,155"
Court House,"1/20/2009,Tue",Exit,649,"1,291","2,035","1,502","5,477"
Crystal City,"1/20/2009,Tue",Entry,"7,976","2,717","2,670","1,558","14,921"
Crystal City,"1/20/2009,Tue",Exit,"1,066","3,301","4,461","2,431","11,259"
Deanwood,"1/20/2009,Tue",Entry,966,417,196,111,"1,690"
Deanwood,"1/20/2009,Tue",Exit,66,326,565,274,"1,231"
Dunn Loring,"1/20/2009,Tue",Entry,"7,298","1,368",588,388,"9,642"
Dunn Loring,"1/20/2009,Tue",Exit,243,"1,286","2,189","1,539","5,257"
Dupont Circle,"1/20/2009,Tue",Entry,"7,820","8,204","12,246","7,593","35,863"
Dupont Circle,"1/20/2009,Tue",Exit,"3,030","5,558","5,475","6,466","20,529"
East Falls Church,"1/20/2009,Tue",Entry,"5,121","1,089",495,397,"7,102"
East Falls Church,"1/20/2009,Tue",Exit,297,"1,569","2,907","1,454","6,227"
Eastern Market,"1/20/2009,Tue",Entry,"1,810","6,895","4,977","2,306","15,988"
Eastern Market,"1/20/2009,Tue",Exit,"2,071","1,322","1,140","1,857","6,390"
Eisenhower,"1/20/2009,Tue",Entry,"2,969",575,366,240,"4,150"
Eisenhower,"1/20/2009,Tue",Exit,120,"1,092",768,537,"2,517"
Farragut North,"1/20/2009,Tue",Entry,"2,449","14,580","12,856","3,647","33,532"
Farragut North,"1/20/2009,Tue",Exit,"14,323","9,873","1,596","1,652","27,444"
Farragut West,"1/20/2009,Tue",Entry,50,"11,365","8,459","3,443","23,317"
Farragut West,"1/20/2009,Tue",Exit,"6,817","7,233","1,540","1,185","16,775"
Federal Center,"1/20/2009,Tue",Entry,2,"11,018","9,797","1,032","21,849"
Federal Center,"1/20/2009,Tue",Exit,"10,620",444,375,513,"11,952"
Federal Triangle,"1/20/2009,Tue",Entry,3,92,"8,015","2,458","10,568"
Federal Triangle,"1/20/2009,Tue",Exit,"27,785","14,902",864,"1,542","45,093"
Foggy Bottom,"1/20/2009,Tue",Entry,"6,102","10,398","7,336","5,388","29,224"
Foggy Bottom,"1/20/2009,Tue",Exit,"7,412","7,660","2,686","3,111","20,869"
Forest Glen,"1/20/2009,Tue",Entry,"3,163",613,254,223,"4,253"
Forest Glen,"1/20/2009,Tue",Exit,93,"1,078","1,369",689,"3,229"
Fort Totten Red,"1/20/2009,Tue",Entry,"6,182","2,156",967,762,"10,067"
Fort Totten Red,"1/20/2009,Tue",Exit,531,"2,923","2,903","1,910","8,267"
Franconia-Springfield,"1/20/2009,Tue",Entry,"19,643","4,750",971,609,"25,973"
Franconia-Springfield,"1/20/2009,Tue",Exit,227,"2,498","2,284","4,169","9,178"
Friendship Heights,"1/20/2009,Tue",Entry,"6,995","1,971","1,782","1,312","12,060"
Friendship Heights,"1/20/2009,Tue",Exit,694,"3,674","5,001","1,900","11,269"
Gallery Place,"1/20/2009,Tue",Entry,"3,842","16,376","16,177","20,321","56,716"
Gallery Place,"1/20/2009,Tue",Exit,"35,385","15,091","6,995","9,566","67,037"
Georgia Ave-Petworth,"1/20/2009,Tue",Entry,"3,907","1,456",868,768,"6,999"
Georgia Ave-Petworth,"1/20/2009,Tue",Exit,288,"1,540","2,253","1,428","5,509"
Glenmont,"1/20/2009,Tue",Entry,"10,209","1,550",443,362,"12,564"
Glenmont,"1/20/2009,Tue",Exit,226,"2,906","3,474","1,649","8,255"
Greenbelt,"1/20/2009,Tue",Entry,"18,657","2,984",950,746,"23,337"
