stations_name,event_date,type,am_peak,midday,pm_peak,env,sum
Addison Road,"1/20/2017,Fri",Entry,595,452,252,128,"1,427"
Addison Road,"1/20/2017,Fri",Exit,153,316,595,423,"1,487"
Anacostia,"1/20/2017,Fri",Entry,"1,345","1,491",717,417,"3,970"
Anacostia,"1/20/2017,Fri",Exit,411,"1,210","1,321",963,"3,905"
Archives/Navy Memorial,"1/20/2017,Fri",Entry,0,0,0,0,0
Archives/Navy Memorial,"1/20/2017,Fri",Exit,0,0,0,0,0
Arlington Cemetery,"1/20/2017,Fri",Entry,126,618,997,0,"1,741"
Arlington Cemetery,"1/20/2017,Fri",Exit,180,742,524,0,"1,446"
Ballston,"1/20/2017,Fri",Entry,"2,902","2,052","1,479",743,"7,176"
Ballston,"1/20/2017,Fri",Exit,806,"2,035","2,708","1,413","6,962"
Benning Road,"1/20/2017,Fri",Entry,613,560,288,159,"1,620"
Benning Road,"1/20/2017,Fri",Exit,124,318,575,447,"1,464"
Bethesda,"1/20/2017,Fri",Entry,"2,394","2,163","2,245","1,167","7,969"
Bethesda,"1/20/2017,Fri",Exit,"1,519","2,450","3,096","1,479","8,544"
Braddock Road,"1/20/2017,Fri",Entry,"1,601",973,539,277,"3,390"
Braddock Road,"1/20/2017,Fri",Exit,301,"1,081","1,340",744,"3,466"
Branch Avenue,"1/20/2017,Fri",Entry,"2,224",775,436,190,"3,625"
Branch Avenue,"1/20/2017,Fri",Exit,231,827,"1,630",802,"3,490"
Brookland-CUA,"1/20/2017,Fri",Entry,"1,802","1,356","1,020",415,"4,593"
Brookland-CUA,"1/20/2017,Fri",Exit,522,"1,653","1,514",831,"4,520"
Capital South,"1/20/2017,Fri",Entry,59,"6,724","2,562",767,"10,112"
Capital South,"1/20/2017,Fri",Exit,"7,478","3,793",970,527,"12,768"
Capitol Heights,"1/20/2017,Fri",Entry,454,328,150,88,"1,020"
Capitol Heights,"1/20/2017,Fri",Exit,68,162,401,248,879
Cheverly,"1/20/2017,Fri",Entry,289,179,116,41,625
Cheverly,"1/20/2017,Fri",Exit,75,145,219,138,577
Clarendon,"1/20/2017,Fri",Entry,940,908,701,602,"3,151"
Clarendon,"1/20/2017,Fri",Exit,277,"1,027","1,426",859,"3,589"
Cleveland Park,"1/20/2017,Fri",Entry,641,859,627,507,"2,634"
Cleveland Park,"1/20/2017,Fri",Exit,165,817,"1,285",762,"3,029"
College Park/U of Md,"1/20/2017,Fri",Entry,"1,488",998,670,215,"3,371"
College Park/U of Md,"1/20/2017,Fri",Exit,300,"1,045","1,203",702,"3,250"
Columbia Heights,"1/20/2017,Fri",Entry,"2,103","2,716","2,370","1,428","8,617"
Columbia Heights,"1/20/2017,Fri",Exit,"1,030","2,942","3,525","2,550","10,047"
Congress Heights,"1/20/2017,Fri",Entry,480,453,219,121,"1,273"
Congress Heights,"1/20/2017,Fri",Exit,126,175,424,308,"1,033"
Court House,"1/20/2017,Fri",Entry,"2,032","1,295",950,471,"4,748"
Court House,"1/20/2017,Fri",Exit,335,"1,375","1,791","1,072","4,573"
Crystal City,"1/20/2017,Fri",Entry,"5,537","2,233","1,456",888,"10,114"
Crystal City,"1/20/2017,Fri",Exit,623,"3,942","3,482","1,663","9,710"
Deanwood,"1/20/2017,Fri",Entry,294,237,124,73,728
Deanwood,"1/20/2017,Fri",Exit,70,167,230,156,623
Dunn Loring,"1/20/2017,Fri",Entry,"1,825",839,427,240,"3,331"
Dunn Loring,"1/20/2017,Fri",Exit,255,895,"1,359",744,"3,253"
Dupont Circle,"1/20/2017,Fri",Entry,"3,863","4,602","3,738","2,844","15,047"
Dupont Circle,"1/20/2017,Fri",Exit,"3,259","6,288","5,451","3,016","18,014"
East Falls Church,"1/20/2017,Fri",Entry,"1,917","1,070",549,251,"3,787"
East Falls Church,"1/20/2017,Fri",Exit,148,"1,009","1,830",873,"3,860"
Eastern Market,"1/20/2017,Fri",Entry,949,"1,853","1,240",936,"4,978"
Eastern Market,"1/20/2017,Fri",Exit,614,"1,481","1,834",971,"4,900"
Eisenhower,"1/20/2017,Fri",Entry,"1,330",531,336,159,"2,356"
Eisenhower,"1/20/2017,Fri",Exit,101,625,761,440,"1,927"
Farragut North,"1/20/2017,Fri",Entry,"1,274","3,417","5,263","1,732","11,686"
Farragut North,"1/20/2017,Fri",Exit,"3,004","4,088","1,768",774,"9,634"
Farragut West,"1/20/2017,Fri",Entry,980,"3,627","5,975","1,587","12,169"
Farragut West,"1/20/2017,Fri",Exit,"2,581","3,217","1,339",591,"7,728"
Federal Center,"1/20/2017,Fri",Entry,588,"8,220","1,597",460,"10,865"
Federal Center,"1/20/2017,Fri",Exit,"16,869","6,710",348,197,"24,124"
Federal Triangle,"1/20/2017,Fri",Entry,0,0,0,0,0
Federal Triangle,"1/20/2017,Fri",Exit,0,0,0,0,0
Foggy Bottom,"1/20/2017,Fri",Entry,"3,491","3,936","4,869","2,537","14,833"
Foggy Bottom,"1/20/2017,Fri",Exit,"2,641","5,452","3,751","1,752","13,596"
Forest Glen,"1/20/2017,Fri",Entry,538,385,199,108,"1,230"
Forest Glen,"1/20/2017,Fri",Exit,75,324,487,323,"1,209"
Fort Totten Red,"1/20/2017,Fri",Entry,"1,835","1,580",965,467,"4,847"
Fort Totten Red,"1/20/2017,Fri",Exit,507,"1,043","1,780","1,470","4,800"
Franconia-Springfield,"1/20/2017,Fri",Entry,"7,169","2,334",914,354,"10,771"
Franconia-Springfield,"1/20/2017,Fri",Exit,379,"3,193","4,514","2,372","10,458"
Friendship Heights,"1/20/2017,Fri",Entry,"1,979","2,059","1,968",995,"7,001"
Friendship Heights,"1/20/2017,Fri",Exit,"1,131","2,431","2,628","1,178","7,368"
Gallery Place,"1/20/2017,Fri",Entry,"1,896","11,803","17,722","11,147","42,568"
Gallery Place,"1/20/2017,Fri",Exit,"11,998","14,352","7,498","4,894","38,742"
Georgia Ave-Petworth,"1/20/2017,Fri",Entry,"1,286","1,388",973,572,"4,219"
Georgia Ave-Petworth,"1/20/2017,Fri",Exit,331,"1,142","1,734","1,396","4,603"
Glenmont,"1/20/2017,Fri",Entry,"1,885",942,427,244,"3,498"
Glenmont,"1/20/2017,Fri",Exit,169,804,"1,498",862,"3,333"
Greenbelt,"1/20/2017,Fri",Entry,"4,310","1,800",975,620,"7,705"
Greenbelt,"1/20/2017,Fri",Exit,348,"1,883","2,840","1,440","6,511"
Greensboro,"1/20/2017,Fri",Entry,390,200,279,95,964
Greensboro,"1/20/2017,Fri",Exit,216,282,293,158,949
Grosvenor,"1/20/2017,Fri",Entry,"1,403",982,548,256,"3,189"
Grosvenor,"1/20/2017,Fri",Exit,171,812,"1,317",747,"3,047"
Huntington,"1/20/2017,Fri",Entry,"3,031","1,505",811,360,"5,707"
Huntington,"1/20/2017,Fri",Exit,302,"1,730","2,196","1,518","5,746"
Judiciary Square,"1/20/2017,Fri",Entry,939,"11,506","5,256",529,"18,230"
Judiciary Square,"1/20/2017,Fri",Exit,"17,811","7,988",738,331,"26,868"
King Street,"1/20/2017,Fri",Entry,"3,492","2,012","1,527","1,012","8,043"
King Street,"1/20/2017,Fri",Exit,666,"3,072","3,393","1,588","8,719"
L'Enfant Plaza,"1/20/2017,Fri",Entry,"2,459","22,514","16,867","2,215","44,055"
L'Enfant Plaza,"1/20/2017,Fri",Exit,"16,818","15,696","2,605",951,"36,070"
Landover,"1/20/2017,Fri",Entry,380,236,104,68,788
Landover,"1/20/2017,Fri",Exit,67,173,284,272,796
Largo Town Center,"1/20/2017,Fri",Entry,"1,096",623,380,229,"2,328"
Largo Town Center,"1/20/2017,Fri",Exit,183,650,920,616,"2,369"
McLean,"1/20/2017,Fri",Entry,828,459,262,86,"1,635"
McLean,"1/20/2017,Fri",Exit,183,375,692,259,"1,509"
McPherson Sq.,"1/20/2017,Fri",Entry,"1,622","2,539","7,189","2,446","13,796"
McPherson Sq.,"1/20/2017,Fri",Exit,"2,943","5,464","2,143","1,063","11,613"
Medical Center,"1/20/2017,Fri",Entry,515,468,457,220,"1,660"
Medical Center,"1/20/2017,Fri",Exit,300,505,481,266,"1,552"
Metro Center,"1/20/2017,Fri",Entry,"2,518","7,104","17,666","5,887","33,175"
Metro Center,"1/20/2017,Fri",Exit,"9,937","14,546","4,571","2,317","31,371"
Minnesota Ave,"1/20/2017,Fri",Entry,441,406,234,135,"1,216"
Minnesota Ave,"1/20/2017,Fri",Exit,147,352,456,333,"1,288"
Morgan Boulevard,"1/20/2017,Fri",Entry,331,301,127,74,833
Morgan Boulevard,"1/20/2017,Fri",Exit,104,178,265,235,782
Mt. Vernon Sq./UDC,"1/20/2017,Fri",Entry,5,0,3,3,11
Mt. Vernon Sq./UDC,"1/20/2017,Fri",Exit,5,1,3,3,12
Nation Airport,"1/20/2017,Fri",Entry,"2,053","4,959","3,879","3,131","14,022"
Nation Airport,"1/20/2017,Fri",Exit,"1,820","2,838","2,245",682,"7,585"
Navy Yard,"1/20/2017,Fri",Entry,"1,023","1,214","1,072",667,"3,976"
Navy Yard,"1/20/2017,Fri",Exit,562,920,"1,194",884,"3,560"
Naylor Road,"1/20/2017,Fri",Entry,660,386,263,118,"1,427"
Naylor Road,"1/20/2017,Fri",Exit,151,286,580,401,"1,418"
New Carrolton,"1/20/2017,Fri",Entry,"4,451","1,667",708,395,"7,221"
New Carrolton,"1/20/2017,Fri",Exit,342,"2,050","3,060","1,275","6,727"
New York Avenue,"1/20/2017,Fri",Entry,"1,330","1,318","1,110",734,"4,492"
New York Avenue,"1/20/2017,Fri",Exit,549,"1,173","1,821","1,134","4,677"
Pentagon,"1/20/2017,Fri",Entry,0,3,1,0,4
Pentagon,"1/20/2017,Fri",Exit,0,4,1,0,5
Pentagon City,"1/20/2017,Fri",Entry,"5,830","4,188","2,678","1,567","14,263"
Pentagon City,"1/20/2017,Fri",Exit,726,"5,124","5,341","2,377","13,568"
Potomac Ave,"1/20/2017,Fri",Entry,768,722,376,217,"2,083"
Potomac Ave,"1/20/2017,Fri",Exit,146,542,792,599,"2,079"
Prince Georges Plaza,"1/20/2017,Fri",Entry,"1,015",867,667,409,"2,958"
Prince Georges Plaza,"1/20/2017,Fri",Exit,282,769,"1,098",789,"2,938"
Rhode Island Ave.,"1/20/2017,Fri",Entry,"1,090","1,137",768,342,"3,337"
Rhode Island Ave.,"1/20/2017,Fri",Exit,371,875,"1,248",766,"3,260"
Rockville,"1/20/2017,Fri",Entry,"1,279",790,758,374,"3,201"
Rockville,"1/20/2017,Fri",Exit,392,773,"1,158",713,"3,036"
Rosslyn,"1/20/2017,Fri",Entry,"3,863","2,419","1,958",977,"9,217"
Rosslyn,"1/20/2017,Fri",Exit,926,"2,929","2,957","1,627","8,439"
Shady Grove,"1/20/2017,Fri",Entry,"6,352","2,197","1,134",567,"10,250"
Shady Grove,"1/20/2017,Fri",Exit,498,"2,399","4,415","2,387","9,699"
Shaw/Howard Univ,"1/20/2017,Fri",Entry,895,"1,325","1,191",889,"4,300"
Shaw/Howard Univ,"1/20/2017,Fri",Exit,495,"1,528","1,784","1,299","5,106"
Silver Spring,"1/20/2017,Fri",Entry,"3,386","2,440","1,830","1,074","8,730"
Silver Spring,"1/20/2017,Fri",Exit,868,"2,557","3,373","1,993","8,791"
Smithsonian,"1/20/2017,Fri",Entry,1,2,1,1,5
Smithsonian,"1/20/2017,Fri",Exit,2,2,1,2,7
Southern Avenue,"1/20/2017,Fri",Entry,"1,183",746,392,238,"2,559"
Southern Avenue,"1/20/2017,Fri",Exit,242,440,"1,041",625,"2,348"
Spring Hill,"1/20/2017,Fri",Entry,643,294,278,136,"1,351"
Spring Hill,"1/20/2017,Fri",Exit,188,403,428,342,"1,361"
Stadium Armory,"1/20/2017,Fri",Entry,"1,373",860,349,211,"2,793"
Stadium Armory,"1/20/2017,Fri",Exit,183,915,"2,052",390,"3,540"
Suitland,"1/20/2017,Fri",Entry,"1,209",604,367,186,"2,366"
Suitland,"1/20/2017,Fri",Exit,208,389,936,662,"2,195"
Takoma,"1/20/2017,Fri",Entry,"1,210","1,167",573,344,"3,294"
Takoma,"1/20/2017,Fri",Exit,234,801,"1,415",939,"3,389"
Tenleytown,"1/20/2017,Fri",Entry,"1,630","1,869","1,087",693,"5,279"
Tenleytown,"1/20/2017,Fri",Exit,493,"2,163","2,330","1,146","6,132"
Twinbrook,"1/20/2017,Fri",Entry,"1,142",710,515,246,"2,613"
Twinbrook,"1/20/2017,Fri",Exit,273,630,"1,029",634,"2,566"
Tysons,"1/20/2017,Fri",Entry,"1,183",755,"1,127",606,"3,671"
Tysons,"1/20/2017,Fri",Exit,529,"1,444","1,380",647,"4,000"
U Street-Cardozo,"1/20/2017,Fri",Entry,911,"1,295","1,377","1,940","5,523"
U Street-Cardozo,"1/20/2017,Fri",Exit,530,"1,860","2,404","1,974","6,768"
Union Station,"1/20/2017,Fri",Entry,"2,480","12,231","8,521","5,248","28,480"
Union Station,"1/20/2017,Fri",Exit,"10,459","9,757","5,463","2,024","27,703"
Van Dorn Street,"1/20/2017,Fri",Entry,"1,306",609,329,131,"2,375"
Van Dorn Street,"1/20/2017,Fri",Exit,205,592,959,597,"2,353"
Van Ness,"1/20/2017,Fri",Entry,969,"1,179",799,447,"3,394"
Van Ness,"1/20/2017,Fri",Exit,320,"1,036","1,295",835,"3,486"
Vienna,"1/20/2017,Fri",Entry,"6,363","2,190",884,362,"9,799"
Vienna,"1/20/2017,Fri",Exit,338,"2,796","4,392","2,082","9,608"
Virginia Square,"1/20/2017,Fri",Entry,757,645,393,263,"2,058"
Virginia Square,"1/20/2017,Fri",Exit,137,585,758,464,"1,944"
Waterfront,"1/20/2017,Fri",Entry,714,"1,489",856,678,"3,737"
Waterfront,"1/20/2017,Fri",Exit,304,715,"1,055",865,"2,939"
West Falls Church,"1/20/2017,Fri",Entry,827,613,183,111,"1,734"
West Falls Church,"1/20/2017,Fri",Exit,78,467,769,417,"1,731"
West Hyattsville,"1/20/2017,Fri",Entry,"1,112",711,471,161,"2,455"
West Hyattsville,"1/20/2017,Fri",Exit,185,468,822,735,"2,210"
Wheaton,"1/20/2017,Fri",Entry,835,748,559,341,"2,483"
Wheaton,"1/20/2017,Fri",Exit,219,682,992,567,"2,460"
White Flint,"1/20/2017,Fri",Entry,956,553,458,190,"2,157"
White Flint,"1/20/2017,Fri",Exit,261,634,781,394,"2,070"
Wiehle Ave,"1/20/2017,Fri",Entry,"5,124","2,163","1,307",516,"9,110"
Wiehle Ave,"1/20/2017,Fri",Exit,497,"2,221","3,920","2,106","8,744"
Woodley Park/Zoo,"1/20/2017,Fri",Entry,"1,731","1,457","1,409",818,"5,415"
Woodley Park/Zoo,"1/20/2017,Fri",Exit,407,"2,293","2,544","1,455","6,699"
SYSTEMWIDE TOTAL,"1/20/2017,Fri",Entry,"152,138","187,133","158,393","72,893","570,557"
SYSTEMWIDE TOTAL,"1/20/2017,Fri",Exit,"133,477","189,043","157,869","86,865","567,254"
