stations_name,event_date,type,am_peak,midday,pm_peak,env,sum
Addison Road,"1/21/2017,Sat",Entry,432,601,191,135,1359
Addison Road,"1/21/2017,Sat",Exit,86,277,574,426,1363
Anacostia,"1/21/2017,Sat",Entry,987,1799,561,332,3679
Anacostia,"1/21/2017,Sat",Exit,228,810,1419,887,3344
Archives/Navy Memorial,"1/21/2017,Sat",Entry,136,28,255,1259,1678
Archives/Navy Memorial,"1/21/2017,Sat",Exit,6066,4537,231,244,11078
Arlington Cemetery,"1/21/2017,Sat",Entry,42,1720,2948,0,4710
Arlington Cemetery,"1/21/2017,Sat",Exit,181,2451,543,0,3175
Ballston,"1/21/2017,Sat",Entry,3906,4360,771,549,9586
Ballston,"1/21/2017,Sat",Exit,494,1995,5034,1420,8943
Benning Road,"1/21/2017,Sat",Entry,410,735,276,144,1565
Benning Road,"1/21/2017,Sat",Exit,100,228,620,373,1321
Bethesda,"1/21/2017,Sat",Entry,5133,6881,851,793,13658
Bethesda,"1/21/2017,Sat",Exit,273,2866,9695,1706,14540
Braddock Road,"1/21/2017,Sat",Entry,4512,2114,280,175,7081
Braddock Road,"1/21/2017,Sat",Exit,124,1364,4789,1101,7378
Branch Avenue,"1/21/2017,Sat",Entry,2731,2354,276,123,5484
Branch Avenue,"1/21/2017,Sat",Exit,136,849,3248,1093,5326
Brookland/CUA,"1/21/2017,Sat",Entry,1809,3175,739,433,6156
Brookland/CUA,"1/21/2017,Sat",Exit,185,1230,3151,760,5326
Capital South,"1/21/2017,Sat",Entry,142,3884,7370,470,11866
Capital South,"1/21/2017,Sat",Exit,9907,17375,960,209,28451
Capitol Heights,"1/21/2017,Sat",Entry,288,433,136,75,932
Capitol Heights,"1/21/2017,Sat",Exit,39,131,395,272,837
Cheverly,"1/21/2017,Sat",Entry,629,1072,55,25,1781
Cheverly,"1/21/2017,Sat",Exit,36,340,978,208,1562
Clarendon,"1/21/2017,Sat",Entry,1719,1500,500,554,4273
Clarendon,"1/21/2017,Sat",Exit,499,1443,2661,699,5302
Cleveland Park,"1/21/2017,Sat",Entry,2693,2951,664,605,6913
Cleveland Park,"1/21/2017,Sat",Exit,227,1365,2862,577,5031
College Park/U of Md,"1/21/2017,Sat",Entry,3627,4650,300,161,8738
College Park/U of Md,"1/21/2017,Sat",Exit,103,1045,5245,1807,8200
Columbia Heights,"1/21/2017,Sat",Entry,5764,7002,2156,1721,16643
Columbia Heights,"1/21/2017,Sat",Exit,692,3554,5007,1902,11155
Congress Heights,"1/21/2017,Sat",Entry,268,486,234,116,1104
Congress Heights,"1/21/2017,Sat",Exit,70,204,346,283,903
Court House,"1/21/2017,Sat",Entry,2880,3392,560,335,7167
Court House,"1/21/2017,Sat",Exit,612,1818,2697,808,5935
Crystal City,"1/21/2017,Sat",Entry,4574,4742,950,587,10853
Crystal City,"1/21/2017,Sat",Exit,253,2077,5671,1386,9387
Deanwood,"1/21/2017,Sat",Entry,196,471,108,60,835
Deanwood,"1/21/2017,Sat",Exit,34,135,323,167,659
Dunn Loring,"1/21/2017,Sat",Entry,3550,3123,240,147,7060
Dunn Loring,"1/21/2017,Sat",Exit,78,875,4395,1114,6462
Dupont Circle,"1/21/2017,Sat",Entry,3756,5097,11663,5274,25790
Dupont Circle,"1/21/2017,Sat",Exit,1966,4316,4650,1606,12538
East Falls Church,"1/21/2017,Sat",Entry,4446,3659,314,161,8580
East Falls Church,"1/21/2017,Sat",Exit,123,1319,5649,1110,8201
Eastern Market,"1/21/2017,Sat",Entry,506,1501,3930,1418,7355
Eastern Market,"1/21/2017,Sat",Exit,2584,3682,3257,531,10054
Eisenhower,"1/21/2017,Sat",Entry,1509,1284,155,129,3077
Eisenhower,"1/21/2017,Sat",Exit,35,393,1600,419,2447
Farragut North,"1/21/2017,Sat",Entry,551,5628,23490,2014,31683
Farragut North,"1/21/2017,Sat",Exit,1390,2466,2472,487,6815
Farragut West,"1/21/2017,Sat",Entry,970,4904,10778,2084,18736
Farragut West,"1/21/2017,Sat",Exit,854,2239,1195,526,4814
Federal Center,"1/21/2017,Sat",Entry,80,4874,7848,201,13003
