event_name,date,day,station,type,am_peak,midday,pm_peak,env,sum
2009 Inauguration,1/20/2009,Tue,Addison Road,Entry,3755.0,1064.0,231.0,193.0,5243.0
2009 Inauguration,1/20/2009,Tue,Addison Road,Exit,154.0,1272.0,1334.0,668.0,3428.0
2009 Inauguration,1/20/2009,Tue,Anacostia,Entry,3896.0,2141.0,1155.0,612.0,7804.0
2009 Inauguration,1/20/2009,Tue,Anacostia,Exit,411.0,2029.0,2340.0,1286.0,6066.0
2009 Inauguration,1/20/2009,Tue,Archives-Navy Memorial,Entry,0.0,0.0,390.0,1379.0,1769.0
2009 Inauguration,1/20/2009,Tue,Archives-Navy Memorial,Exit,0.0,0.0,38.0,368.0,406.0
2009 Inauguration,1/20/2009,Tue,Arlington Cemetery,Entry,150.0,5430.0,1870.0,10.0,7460.0
2009 Inauguration,1/20/2009,Tue,Arlington Cemetery,Exit,1631.0,1802.0,256.0,2.0,3691.0
2009 Inauguration,1/20/2009,Tue,Ballston,Entry,5640.0,2403.0,1583.0,1072.0,10698.0
2009 Inauguration,1/20/2009,Tue,Ballston,Exit,967.0,3066.0,4530.0,2402.0,10965.0
2009 Inauguration,1/20/2009,Tue,Benning Road,Entry,2149.0,874.0,325.0,236.0,3584.0
2009 Inauguration,1/20/2009,Tue,Benning Road,Exit,121.0,955.0,1294.0,540.0,2910.0
2009 Inauguration,1/20/2009,Tue,Bethesda,Entry,7479.0,2053.0,1557.0,1411.0,12500.0
2009 Inauguration,1/20/2009,Tue,Bethesda,Exit,853.0,3729.0,4819.0,2106.0,11507.0
2009 Inauguration,1/20/2009,Tue,Braddock Road,Entry,5289.0,1200.0,565.0,455.0,7509.0
2009 Inauguration,1/20/2009,Tue,Braddock Road,Exit,288.0,1916.0,2345.0,1467.0,6016.0
2009 Inauguration,1/20/2009,Tue,Branch Avenue,Entry,16478.0,2214.0,665.0,408.0,19765.0
2009 Inauguration,1/20/2009,Tue,Branch Avenue,Exit,403.0,4884.0,6891.0,1725.0,13903.0
2009 Inauguration,1/20/2009,Tue,Brookland-CUA,Entry,5409.0,1483.0,1173.0,735.0,8800.0
2009 Inauguration,1/20/2009,Tue,Brookland-CUA,Exit,795.0,2784.0,2680.0,1210.0,7469.0
2009 Inauguration,1/20/2009,Tue,Capital South,Entry,13.0,9746.0,7030.0,1627.0,18416.0
2009 Inauguration,1/20/2009,Tue,Capital South,Exit,6650.0,2482.0,502.0,1078.0,10712.0
2009 Inauguration,1/20/2009,Tue,Capitol Heights,Entry,1699.0,671.0,162.0,145.0,2677.0
2009 Inauguration,1/20/2009,Tue,Capitol Heights,Exit,77.0,695.0,934.0,390.0,2096.0
2009 Inauguration,1/20/2009,Tue,Cheverly,Entry,1827.0,361.0,130.0,89.0,2407.0
2009 Inauguration,1/20/2009,Tue,Cheverly,Exit,64.0,553.0,583.0,290.0,1490.0
2009 Inauguration,1/20/2009,Tue,Clarendon,Entry,2245.0,842.0,678.0,858.0,4623.0
2009 Inauguration,1/20/2009,Tue,Clarendon,Exit,448.0,1053.0,1573.0,1208.0,4282.0
2009 Inauguration,1/20/2009,Tue,Cleveland Park,Entry,3246.0,1021.0,844.0,1091.0,6202.0
2009 Inauguration,1/20/2009,Tue,Cleveland Park,Exit,166.0,1677.0,2356.0,1399.0,5598.0
2009 Inauguration,1/20/2009,Tue,College Park-U of Md,Entry,7145.0,1647.0,397.0,370.0,9559.0
2009 Inauguration,1/20/2009,Tue,College Park-U of Md,Exit,286.0,1616.0,1114.0,1323.0,4339.0
2009 Inauguration,1/20/2009,Tue,Columbia Heights,Entry,7606.0,2416.0,2505.0,2387.0,14914.0
2009 Inauguration,1/20/2009,Tue,Columbia Heights,Exit,891.0,3319.0,4840.0,3311.0,12361.0
2009 Inauguration,1/20/2009,Tue,Congress Heights,Entry,1460.0,721.0,306.0,176.0,2663.0
2009 Inauguration,1/20/2009,Tue,Congress Heights,Exit,119.0,809.0,851.0,417.0,2196.0
2009 Inauguration,1/20/2009,Tue,Court House,Entry,2970.0,1331.0,1065.0,789.0,6155.0
2009 Inauguration,1/20/2009,Tue,Court House,Exit,649.0,1291.0,2035.0,1502.0,5477.0
2009 Inauguration,1/20/2009,Tue,Crystal City,Entry,7976.0,2717.0,2670.0,1558.0,14921.0
2009 Inauguration,1/20/2009,Tue,Crystal City,Exit,1066.0,3301.0,4461.0,2431.0,11259.0
2009 Inauguration,1/20/2009,Tue,Deanwood,Entry,966.0,417.0,196.0,111.0,1690.0
2009 Inauguration,1/20/2009,Tue,Deanwood,Exit,66.0,326.0,565.0,274.0,1231.0
2009 Inauguration,1/20/2009,Tue,Dunn Loring,Entry,7298.0,1368.0,588.0,388.0,9642.0
2009 Inauguration,1/20/2009,Tue,Dunn Loring,Exit,243.0,1286.0,2189.0,1539.0,5257.0
2009 Inauguration,1/20/2009,Tue,Dupont Circle,Entry,7820.0,8204.0,12246.0,7593.0,35863.0
2009 Inauguration,1/20/2009,Tue,Dupont Circle,Exit,3030.0,5558.0,5475.0,6466.0,20529.0
2009 Inauguration,1/20/2009,Tue,East Falls Church,Entry,5121.0,1089.0,495.0,397.0,7102.0
2009 Inauguration,1/20/2009,Tue,East Falls Church,Exit,297.0,1569.0,2907.0,1454.0,6227.0
2009 Inauguration,1/20/2009,Tue,Eastern Market,Entry,1810.0,6895.0,4977.0,2306.0,15988.0
2009 Inauguration,1/20/2009,Tue,Eastern Market,Exit,2071.0,1322.0,1140.0,1857.0,6390.0
2009 Inauguration,1/20/2009,Tue,Eisenhower,Entry,2969.0,575.0,366.0,240.0,4150.0
2009 Inauguration,1/20/2009,Tue,Eisenhower,Exit,120.0,1092.0,768.0,537.0,2517.0
2009 Inauguration,1/20/2009,Tue,Farragut North,Entry,2449.0,14580.0,12856.0,3647.0,33532.0
2009 Inauguration,1/20/2009,Tue,Farragut North,Exit,14323.0,9873.0,1596.0,1652.0,27444.0
2009 Inauguration,1/20/2009,Tue,Farragut West,Entry,50.0,11365.0,8459.0,3443.0,23317.0
2009 Inauguration,1/20/2009,Tue,Farragut West,Exit,6817.0,7233.0,1540.0,1185.0,16775.0
2009 Inauguration,1/20/2009,Tue,Federal Center,Entry,2.0,11018.0,9797.0,1032.0,21849.0
2009 Inauguration,1/20/2009,Tue,Federal Center,Exit,10620.0,444.0,375.0,513.0,11952.0
2009 Inauguration,1/20/2009,Tue,Federal Triangle,Entry,3.0,92.0,8015.0,2458.0,10568.0
2009 Inauguration,1/20/2009,Tue,Federal Triangle,Exit,27785.0,14902.0,864.0,1542.0,45093.0
2009 Inauguration,1/20/2009,Tue,Foggy Bottom,Entry,6102.0,10398.0,7336.0,5388.0,29224.0
2009 Inauguration,1/20/2009,Tue,Foggy Bottom,Exit,7412.0,7660.0,2686.0,3111.0,20869.0
